Reference,Date,Value
CHF-LIBOR-12M,2000-01-01,0.02285
CHF-LIBOR-12M,2000-01-02,0.02285
CHF-LIBOR-12M,2000-01-03,0.02285
CHF-LIBOR-12M,2000-01-04,0.02285
CHF-LIBOR-12M,2000-01-05,0.02268
CHF-LIBOR-12M,2000-01-06,0.02283
CHF-LIBOR-12M,2000-01-07,0.02322
CHF-LIBOR-12M,2000-01-08,0.02322
CHF-LIBOR-12M,2000-01-09,0.02322
CHF-LIBOR-12M,2000-01-10,0.02358
CHF-LIBOR-12M,2000-01-11,0.02345
CHF-LIBOR-12M,2000-01-12,0.02350
CHF-LIBOR-12M,2000-01-13,0.02367
CHF-LIBOR-12M,2000-01-14,0.02368
CHF-LIBOR-12M,2000-01-15,0.02368
CHF-LIBOR-12M,2000-01-16,0.02368
CHF-LIBOR-12M,2000-01-17,0.02380
CHF-LIBOR-12M,2000-01-18,0.02423
CHF-LIBOR-12M,2000-01-19,0.02432
CHF-LIBOR-12M,2000-01-20,0.02478
CHF-LIBOR-12M,2000-01-21,0.02513
CHF-LIBOR-12M,2000-01-22,0.02513
CHF-LIBOR-12M,2000-01-23,0.02513
CHF-LIBOR-12M,2000-01-24,0.02552
CHF-LIBOR-12M,2000-01-25,0.02540
CHF-LIBOR-12M,2000-01-26,0.02530
CHF-LIBOR-12M,2000-01-27,0.02548
CHF-LIBOR-12M,2000-01-28,0.02598
CHF-LIBOR-12M,2000-01-29,0.02598
CHF-LIBOR-12M,2000-01-30,0.02598
CHF-LIBOR-12M,2000-01-31,0.02673
CHF-LIBOR-12M,2000-02-01,0.02648
CHF-LIBOR-12M,2000-02-02,0.02640
CHF-LIBOR-12M,2000-02-03,0.02673
CHF-LIBOR-12M,2000-02-04,0.02790
CHF-LIBOR-12M,2000-02-05,0.02790
CHF-LIBOR-12M,2000-02-06,0.02790
CHF-LIBOR-12M,2000-02-07,0.02803
CHF-LIBOR-12M,2000-02-08,0.02793
CHF-LIBOR-12M,2000-02-09,0.02783
CHF-LIBOR-12M,2000-02-10,0.02777
CHF-LIBOR-12M,2000-02-11,0.02783
CHF-LIBOR-12M,2000-02-12,0.02783
CHF-LIBOR-12M,2000-02-13,0.02783
CHF-LIBOR-12M,2000-02-14,0.02770
CHF-LIBOR-12M,2000-02-15,0.02865
CHF-LIBOR-12M,2000-02-16,0.03057
CHF-LIBOR-12M,2000-02-17,0.02958
CHF-LIBOR-12M,2000-02-18,0.03015
CHF-LIBOR-12M,2000-02-19,0.03015
CHF-LIBOR-12M,2000-02-20,0.03015
CHF-LIBOR-12M,2000-02-21,0.03005
CHF-LIBOR-12M,2000-02-22,0.02990
CHF-LIBOR-12M,2000-02-23,0.02992
CHF-LIBOR-12M,2000-02-24,0.02983
CHF-LIBOR-12M,2000-02-25,0.03033
CHF-LIBOR-12M,2000-02-26,0.03033
CHF-LIBOR-12M,2000-02-27,0.03033
CHF-LIBOR-12M,2000-02-28,0.03155
CHF-LIBOR-12M,2000-02-29,0.03083
CHF-LIBOR-12M,2000-03-01,0.03077
