Reference,Date,Value
CHF-SARON,2000-01-01,0.00715
CHF-SARON,2000-01-02,0.00715
CHF-SARON,2000-01-03,0.00715
CHF-SARON,2000-01-04,0.00715
CHF-SARON,2000-01-05,0.00667
CHF-SARON,2000-01-06,0.00654
CHF-SARON,2000-01-07,0.00787
CHF-SARON,2000-01-08,0.00787
CHF-SARON,2000-01-09,0.00787
CHF-SARON,2000-01-10,0.00808
CHF-SARON,2000-01-11,0.00439
CHF-SARON,2000-01-12,0.00412
CHF-SARON,2000-01-13,0.00408
CHF-SARON,2000-01-14,0.00500
CHF-SARON,2000-01-15,0.00500
CHF-SARON,2000-01-16,0.00500
CHF-SARON,2000-01-17,0.01202
CHF-SARON,2000-01-18,0.01288
CHF-SARON,2000-01-19,0.01207
CHF-SARON,2000-01-20,0.01208
CHF-SARON,2000-01-21,0.01394
CHF-SARON,2000-01-22,0.01394
CHF-SARON,2000-01-23,0.01394
CHF-SARON,2000-01-24,0.01483
CHF-SARON,2000-01-25,0.01512
CHF-SARON,2000-01-26,0.01434
CHF-SARON,2000-01-27,0.01481
CHF-SARON,2000-01-28,0.01675
CHF-SARON,2000-01-29,0.01675
CHF-SARON,2000-01-30,0.01675
CHF-SARON,2000-01-31,0.02280
CHF-SARON,2000-02-01,0.01898
CHF-SARON,2000-02-02,0.01708
CHF-SARON,2000-02-03,0.01699
CHF-SARON,2000-02-04,0.01885
CHF-SARON,2000-02-05,0.01885
CHF-SARON,2000-02-06,0.01885
CHF-SARON,2000-02-07,0.01948
CHF-SARON,2000-02-08,0.01902
CHF-SARON,2000-02-09,0.01835
CHF-SARON,2000-02-10,0.01903
CHF-SARON,2000-02-11,0.01878
CHF-SARON,2000-02-12,0.01878
CHF-SARON,2000-02-13,0.01878
CHF-SARON,2000-02-14,0.01956
CHF-SARON,2000-02-15,0.02084
CHF-SARON,2000-02-16,0.02243
CHF-SARON,2000-02-17,0.01859
CHF-SARON,2000-02-18,0.01873
CHF-SARON,2000-02-19,0.01873
CHF-SARON,2000-02-20,0.01873
CHF-SARON,2000-02-21,0.01626
CHF-SARON,2000-02-22,0.01461
CHF-SARON,2000-02-23,0.01507
CHF-SARON,2000-02-24,0.01530
CHF-SARON,2000-02-25,0.01644
CHF-SARON,2000-02-26,0.01644
CHF-SARON,2000-02-27,0.01644
CHF-SARON,2000-02-28,0.01389
CHF-SARON,2000-02-29,0.01342
CHF-SARON,2000-03-01,0.01480
CHF-SARON,2000-03-02,0.00983
CHF-SARON,2000-03-03,0.01124
CHF-SARON,2000-03-04,0.01124
CHF-SARON,2000-03-05,0.01124
CHF-SARON,2000-03-06,0.00772
CHF-SARON,2000-03-07,0.00695
CHF-SARON,2000-03-08,0.00694
CHF-SARON,2000-03-09,0.00676
CHF-SARON,2000-03-10,0.01530
CHF-SARON,2000-03-11,0.01530
CHF-SARON,2000-03-12,0.01530
CHF-SARON,2000-03-13,0.01621
CHF-SARON,2000-03-14,0.01549
CHF-SARON,2000-03-15,0.01607
CHF-SARON,2000-03-16,0.00969
CHF-SARON,2000-03-17,0.00958
CHF-SARON,2000-03-18,0.00958
CHF-SARON,2000-03-19,0.00958
CHF-SARON,2000-03-20,0.01106
CHF-SARON,2000-03-21,0.00897
CHF-SARON,2000-03-22,0.00968
CHF-SARON,2000-03-23,0.01625
CHF-SARON,2000-03-24,0.01973
CHF-SARON,2000-03-25,0.01973
CHF-SARON,2000-03-26,0.01973
CHF-SARON,2000-03-27,0.02293
CHF-SARON,2000-03-28,0.02372
CHF-SARON,2000-03-29,0.02559
CHF-SARON,2000-03-30,0.02242
CHF-SARON,2000-03-31,0.02362
CHF-SARON,2000-04-01,0.02362
CHF-SARON,2000-04-02,0.02362
CHF-SARON,2000-04-03,0.02540
CHF-SARON,2000-04-04,0.02484
CHF-SARON,2000-04-05,0.02223
