Reference,Date,Value
USD-FED-FUND,2000-01-01,0.05380
USD-FED-FUND,2000-01-02,0.05380
USD-FED-FUND,2000-01-03,0.05380
USD-FED-FUND,2000-01-04,0.05380
USD-FED-FUND,2000-01-05,0.05410
USD-FED-FUND,2000-01-06,0.05540
USD-FED-FUND,2000-01-07,0.05610
USD-FED-FUND,2000-01-08,0.05610
USD-FED-FUND,2000-01-09,0.05610
USD-FED-FUND,2000-01-10,0.05740
USD-FED-FUND,2000-01-11,0.05630
USD-FED-FUND,2000-01-12,0.05590
USD-FED-FUND,2000-01-13,0.05580
USD-FED-FUND,2000-01-14,0.05560
USD-FED-FUND,2000-01-15,0.05560
USD-FED-FUND,2000-01-16,0.05560
USD-FED-FUND,2000-01-17,0.05560
USD-FED-FUND,2000-01-18,0.05830
USD-FED-FUND,2000-01-19,0.05470
USD-FED-FUND,2000-01-20,0.05440
USD-FED-FUND,2000-01-21,0.05360
USD-FED-FUND,2000-01-22,0.05360
USD-FED-FUND,2000-01-23,0.05360
USD-FED-FUND,2000-01-24,0.05530
USD-FED-FUND,2000-01-25,0.05460
USD-FED-FUND,2000-01-26,0.05520
USD-FED-FUND,2000-01-27,0.05610
USD-FED-FUND,2000-01-28,0.05580
USD-FED-FUND,2000-01-29,0.05580
USD-FED-FUND,2000-01-30,0.05580
USD-FED-FUND,2000-01-31,0.05870
USD-FED-FUND,2000-02-01,0.05790
USD-FED-FUND,2000-02-02,0.05640
USD-FED-FUND,2000-02-03,0.05710
USD-FED-FUND,2000-02-04,0.05700
USD-FED-FUND,2000-02-05,0.05700
USD-FED-FUND,2000-02-06,0.05700
USD-FED-FUND,2000-02-07,0.05760
USD-FED-FUND,2000-02-08,0.05670
USD-FED-FUND,2000-02-09,0.05760
USD-FED-FUND,2000-02-10,0.05790
USD-FED-FUND,2000-02-11,0.05710
USD-FED-FUND,2000-02-12,0.05710
USD-FED-FUND,2000-02-13,0.05710
USD-FED-FUND,2000-02-14,0.05790
USD-FED-FUND,2000-02-15,0.05850
USD-FED-FUND,2000-02-16,0.05670
USD-FED-FUND,2000-02-17,0.05660
USD-FED-FUND,2000-02-18,0.05700
USD-FED-FUND,2000-02-19,0.05700
USD-FED-FUND,2000-02-20,0.05700
USD-FED-FUND,2000-02-21,0.05700
USD-FED-FUND,2000-02-22,0.05810
USD-FED-FUND,2000-02-23,0.05770
USD-FED-FUND,2000-02-24,0.05760
USD-FED-FUND,2000-02-25,0.05730
USD-FED-FUND,2000-02-26,0.05730
USD-FED-FUND,2000-02-27,0.05730
USD-FED-FUND,2000-02-28,0.05810
USD-FED-FUND,2000-02-29,0.05850
USD-FED-FUND,2000-03-01,0.05780
USD-FED-FUND,2000-03-02,0.05760
USD-FED-FUND,2000-03-03,0.05720
USD-FED-FUND,2000-03-04,0.05720
USD-FED-FUND,2000-03-05,0.05720
USD-FED-FUND,2000-03-06,0.05730
USD-FED-FUND,2000-03-07,0.05680
USD-FED-FUND,2000-03-08,0.05770
USD-FED-FUND,2000-03-09,0.05790
USD-FED-FUND,2000-03-10,0.05750
USD-FED-FUND,2000-03-11,0.05750
USD-FED-FUND,2000-03-12,0.05750
USD-FED-FUND,2000-03-13,0.05810
USD-FED-FUND,2000-03-14,0.05800
USD-FED-FUND,2000-03-15,0.05900
USD-FED-FUND,2000-03-16,0.05770
USD-FED-FUND,2000-03-17,0.05760
USD-FED-FUND,2000-03-18,0.05760
USD-FED-FUND,2000-03-19,0.05760
USD-FED-FUND,2000-03-20,0.05820
USD-FED-FUND,2000-03-21,0.05810
USD-FED-FUND,2000-03-22,0.06020
