Reference,Date,Value
USD-LIBOR-12M,2000-01-01,0.06600
USD-LIBOR-12M,2000-01-02,0.06600
USD-LIBOR-12M,2000-01-03,0.06600
USD-LIBOR-12M,2000-01-04,0.06600
USD-LIBOR-12M,2000-01-05,0.06571
USD-LIBOR-12M,2000-01-06,0.06580
USD-LIBOR-12M,2000-01-07,0.06584
USD-LIBOR-12M,2000-01-08,0.06584
USD-LIBOR-12M,2000-01-09,0.06584
USD-LIBOR-12M,2000-01-10,0.06574
USD-LIBOR-12M,2000-01-11,0.06590
USD-LIBOR-12M,2000-01-12,0.06624
USD-LIBOR-12M,2000-01-13,0.06648
USD-LIBOR-12M,2000-01-14,0.06648
USD-LIBOR-12M,2000-01-15,0.06648
USD-LIBOR-12M,2000-01-16,0.06648
USD-LIBOR-12M,2000-01-17,0.06643
USD-LIBOR-12M,2000-01-18,0.06641
USD-LIBOR-12M,2000-01-19,0.06651
USD-LIBOR-12M,2000-01-20,0.06650
USD-LIBOR-12M,2000-01-21,0.06650
USD-LIBOR-12M,2000-01-22,0.06650
USD-LIBOR-12M,2000-01-23,0.06650
USD-LIBOR-12M,2000-01-24,0.06645
USD-LIBOR-12M,2000-01-25,0.06630
USD-LIBOR-12M,2000-01-26,0.06630
USD-LIBOR-12M,2000-01-27,0.06638
USD-LIBOR-12M,2000-01-28,0.06651
USD-LIBOR-12M,2000-01-29,0.06651
USD-LIBOR-12M,2000-01-30,0.06651
USD-LIBOR-12M,2000-01-31,0.06750
USD-LIBOR-12M,2000-02-01,0.06776
USD-LIBOR-12M,2000-02-02,0.06790
USD-LIBOR-12M,2000-02-03,0.06811
USD-LIBOR-12M,2000-02-04,0.06784
USD-LIBOR-12M,2000-02-05,0.06784
USD-LIBOR-12M,2000-02-06,0.06784
USD-LIBOR-12M,2000-02-07,0.06820
USD-LIBOR-12M,2000-02-08,0.06820
USD-LIBOR-12M,2000-02-09,0.06803
USD-LIBOR-12M,2000-02-10,0.06803
USD-LIBOR-12M,2000-02-11,0.06801
USD-LIBOR-12M,2000-02-12,0.06801
USD-LIBOR-12M,2000-02-13,0.06801
USD-LIBOR-12M,2000-02-14,0.06790
USD-LIBOR-12M,2000-02-15,0.06781
USD-LIBOR-12M,2000-02-16,0.06796
USD-LIBOR-12M,2000-02-17,0.06800
USD-LIBOR-12M,2000-02-18,0.06861
USD-LIBOR-12M,2000-02-19,0.06861
USD-LIBOR-12M,2000-02-20,0.06861
USD-LIBOR-12M,2000-02-21,0.06851
USD-LIBOR-12M,2000-02-22,0.06854
USD-LIBOR-12M,2000-02-23,0.06835
USD-LIBOR-12M,2000-02-24,0.06841
USD-LIBOR-12M,2000-02-25,0.06795
USD-LIBOR-12M,2000-02-26,0.06795
USD-LIBOR-12M,2000-02-27,0.06795
USD-LIBOR-12M,2000-02-28,0.06753
USD-LIBOR-12M,2000-02-29,0.06764
USD-LIBOR-12M,2000-03-01,0.06764
USD-LIBOR-12M,2000-03-02,0.06765
USD-LIBOR-12M,2000-03-03,0.06764
USD-LIBOR-12M,2000-03-04,0.06764
USD-LIBOR-12M,2000-03-05,0.06764
USD-LIBOR-12M,2000-03-06,0.06761
USD-LIBOR-12M,2000-03-07,0.06773
USD-LIBOR-12M,2000-03-08,0.06756
USD-LIBOR-12M,2000-03-09,0.06770
USD-LIBOR-12M,2000-03-10,0.06774
USD-LIBOR-12M,2000-03-11,0.06774
USD-LIBOR-12M,2000-03-12,0.06774
USD-LIBOR-12M,2000-03-13,0.06783
USD-LIBOR-12M,2000-03-14,0.06791
USD-LIBOR-12M,2000-03-15,0.06795
USD-LIBOR-12M,2000-03-16,0.06816
USD-LIBOR-12M,2000-03-17,0.06829
USD-LIBOR-12M,2000-03-18,0.06829
USD-LIBOR-12M,2000-03-19,0.06829
USD-LIBOR-12M,2000-03-20,0.06830
